Year,Country,TotalEmissions
1976,Australia,175.71393
1977,New Zealand,20.313482
1977,Australia,187.60486
1978,New Zealand,18.024094
1978,Australia,201.82018
1979,New Zealand,16.494507
1979,Australia,204.86957
1980,New Zealand,16.494507
1980,Australia,204.86957
1981,New Zealand,16.561068
1981,Australia,230.13264
1982,New Zealand,18.27034
1982,Australia,233.88864
1983,New Zealand,17.998198
1983,Australia,224.78502
1984,New Zealand,17.998198
1984,Australia,224.78502
1985,New Zealand,21.858112
1985,Australia,240.98798
1986,New Zealand,22.946138
1986,Australia,239.72221
1987,New Zealand,24.165424
1987,Australia,255.85022
1988,New Zealand,24.165424
1988,Australia,255.85022
1989,New Zealand,25.453356
1989,Australia,277.4856
1990,New Zealand,25.446287
1990,Australia,278.42465
1991,New Zealand,26.110384
1991,Australia,279.87265
1992,New Zealand,26.110384
1992,Australia,279.87265
1993,New Zealand,27.699461
1993,Australia,289.2352
1994,New Zealand,27.88033
1994,Australia,294.01495
1995,New Zealand,28.001804
1995,Australia,305.41016
1996,New Zealand,28.001804
1996,Australia,305.41016
1997,New Zealand,31.289337
1997,Australia,320.79507
1998,New Zealand,29.88278
1998,Australia,334.6845
1999,New Zealand,31.472273
1999,Australia,344.06375
2000,New Zealand,31.472273
2000,Australia,344.06375
2001,New Zealand,34.457443
2001,Australia,357.6692
2002,New Zealand,34.6381
2002,Australia,362.20953
2003,New Zealand,36.351906
2003,Australia,369.726
2004,New Zealand,36.351906
2004,Australia,369.726
2005,New Zealand,37.571037
2005,Australia,386.51346
2006,New Zealand,37.466328
2006,Australia,392.68063
2007,New Zealand,36.559883
2007,Australia,399.84247
2008,New Zealand,36.559883
2008,Australia,399.84247
2009,New Zealand,34.762436
2009,Australia,407.46332
2010,New Zealand,34.957783
2010,Australia,405.5028
2011,New Zealand,34.249573
2011,Australia,404.17276
2012,New Zealand,34.249573
2012,Australia,404.17276
2013,New Zealand,35.240936
2013,Australia,397.94318
2014,New Zealand,35.457806
2014,Australia,394.11688
2015,New Zealand,35.839195
2015,Australia,401.55475
2016,New Zealand,35.839195
2016,Australia,401.55475
2017,New Zealand,36.15333
2017,Australia,415.09744
2018,New Zealand,35.08034
2018,Australia,415.95395
2019,New Zealand,36.540962
2019,Australia,411.01566
